#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
Muslime regen sich über Amazon auf.	OTHER	aufregen	Muslime	EPISODIC	_	Amazon	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime zünden Kirchen an.	ABUSE	anzünden	Muslime	NON_EPISODIC	PERPETRATOR	Kirchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime zwingen uns auch ihre Feiertage per Gesetz auf.	ABUSE	aufzwingen	Muslime	NON_EPISODIC	_	ihre Feiertage	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lehnen sich gegen Christenverfolgung auf.	OTHER	auflehnen	Muslime	NON_EPISODIC	_	Christenverfolgung	NEGATIVE	NEGATIVE	_
Indien: Muslime zünden Schulbus an.	OTHER	anzünden	Muslime	EPISODIC	PERPETRATOR	Schulbus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule regen mich so auf.	ABUSE	aufregen	Homosexuelle	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime zetteln einen Krieg an.	ABUSE	anzetteln	Muslime	EPISODIC	PERPETRATOR	einen Krieg	NEGATIVE	NEGATIVE	_
Muslime kündigen Dialog mit Innenministerium auf.	OTHER	kündigen	Muslime	EPISODIC	_	Dialog mit Innenministerium	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule widern mich an.	ABUSE	anwidern	Homosexuelle	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime zwingen uns also schon ihre Werte auf.	ABUSE	aufzwingen	Muslime	NON_EPISODIC	PERPETRATOR	ihre Werte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden regen sich über alles in Deutschland auf.	ABUSE	aufregen	Juden	NON_EPISODIC	_	alles in Deutschland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Nach Terror in Paris: Juden zweifeln an Heimat Europa.	OTHER	anzweifeln	Juden	EPISODIC	_	Heimat Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden zetteln alle Kriege an.	ABUSE	anzetteln	Juden	NON_EPISODIC	PERPETRATOR	alle Kriege	NEGATIVE	NEGATIVE	_
Schwule drücken jedem ihre Sexualität auf.	ABUSE	aufdrücken	Homosexuelle	NON_EPISODIC	PERPETRATOR	ihre Sexualität	POSITIVE	POSITIVE	_
die Muslime fallen überall unangenehm auf.	ABUSE	auffallen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime fallen sehr oft leider eher negativ auf.	ABUSE	auffallen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime spucken christen an.	ABUSE	anspucken	Muslime	EPISODIC	PERPETRATOR	christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime regen sich über Mohammed Karikaturen auf.	OTHER	aufregen	Muslime	EPISODIC	_	Mohammed Karikaturen	NEGATIVE	NEGATIVE	_
Schwule zwingen ihren Kindern ihre Sexualität auf.	ABUSE	aufzwingen	Homosexuelle	NON_EPISODIC	PERPETRATOR	ihren Kindern	POSITIVE	POSITIVE	_
Juden lösen Antisemitismus aus.	ABUSE	auslösen	Juden	NON_EPISODIC	_	Antisemitismus	NEGATIVE	NEGATIVE	_
Die Muslime lachen uns aus.	ABUSE	auslachen	Muslime	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule lösen bei mir Brechreiz aus!	ABUSE	auslösen	Homosexuelle	NON_EPISODIC	_	Brechreiz	NEGATIVE	NEGATIVE	_
Juden beuten palästinensische Kinder aus.	ABUSE	ausbeuten	Juden	NON_EPISODIC	PERPETRATOR	palästinensische Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lösen Eklat in Kathedrale aus.	OTHER	auslösen	Muslime	EPISODIC	PERPETRATOR	Eklat	NEGATIVE	NEGATIVE	_
Die Juden plündern uns aus.	ABUSE	ausplündern	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	POSITIVE	_
Muslime flippen weiter aus.	ABUSE	ausflippen	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Die Juden nutzen den Holocaust in der Film-Industrie aus.	ABUSE	ausnutzen	Juden	NON_EPISODIC	PERPETRATOR	den Holocaust	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Die Juden nutzen die Erinnerung an den Holocaust heute für ihren eigenen Vorteil aus.	ABUSE	ausnutzen	Juden	NON_EPISODIC	PERPETRATOR	die Erinnerung an den Holocaust	POSITIVE	POSITIVE	_
Die Muslime nutzen die Religionsfreiheit in Deutschland aus.	ABUSE	ausnutzen	Muslime	NON_EPISODIC	PERPETRATOR	die Religionsfreiheit in Deutschland	POSITIVE	POSITIVE	_
Muslime plündern Europäer bewusst aus.	ABUSE	ausplüngern	Muslime	NON_EPISODIC	PERPETRATOR	Europäer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden hecken doch wieder irgendwas aus!	ABUSE	aushecken	Juden	NON_EPISODIC	PERPETRATOR	irgendwas	POSITIVE	POSITIVE	_
Die Juden schlachten unseren schuldkomplex immer und immer aus.	ABUSE	ausschlachten	Juden	NON_EPISODIC	PERPETRATOR	unseren schuldkomplex	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Diese Juden beuten uns sowieso aus.	ABUSE	ausbeuten	Juden	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime rotten Christen in Nigeria aus.	ABUSE	ausrotten	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime lachen Deutsche aus.	ABUSE	auslachen	Muslime	NON_EPISODIC	_	Deutsche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
DIE Juden hecken etwas gegen Gott aus.	ABUSE	aushecken	Juden	NON_EPISODIC	_	etwas	POSITIVE	POSITIVE	_
Muslime beuten ebenso Andere aus.	ABUSE	ausbeuten	Muslime	NON_EPISODIC	PERPETRATOR	Andere	POSITIVE	POSITIVE	_
Muslime tricksen Politiker und Gutmenschen aus.	ABUSE	austricksen	Muslime	NON_EPISODIC	PERPETRATOR	Politiker und Gutmenschen	POSITIVE	POSITIVE	_
Muslime machen die Juden fertig.	ABUSE	fertigmachen	Muslime	NON_EPISODIC	PERPETRATOR	die Juden	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Und die Juden mischen sich nun mal überall ein.	ABUSE	einmischen	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime schüchtern in Nazareth vor Ostern Christen ein.	OTHER	einschüchtern	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime klagen ihre Rechte ein.	OTHER	einklagen	Muslime	EPISODIC	_	ihre Rechte	POSITIVE	POSITIVE	_
Juden nisten sich also wieder im fremden Volkskoerper ein.	ABUSE	einnisten	Juden	NON_EPISODIC	PERPETRATOR	im fremden Volkskoerper	NEGATIVE	NEGATIVE	_
Muslime mischen sich mein ganzes Leben ein.	ABUSE	einmischen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
#Muslime schleppen #Antisemitismus ein.	ABUSE	einschleppen	Muslime	NON_EPISODIC	PERPETRATOR	#Antisemitismus	NEGATIVE	NEGATIVE	_
mUsLImE sPErrEn IhRe FraUen zU haUSe eIN.	ABUSE	einsperren	Muslime	NON_EPISODIC	PERPETRATOR	IhRe FraUen	POSITIVE	POSITIVE	_
Bombay: Muslime sperren Polizisten in den Polizeivans ein.	OTHER	einsperren	Muslime	EPISODIC	PERPETRATOR	Polizisten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden sperren unschuldige Palästinenser jahrzehntelang ohne Anklage in Konzentrationslagern ein	ABUSE	einsperren	Juden	EPISODIC	PERPETRATOR	unschuldige Palästinenser	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden mischen sich wieder ein.	ABUSE	einmischen	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime halten an am Islam fest.	OTHER	festhalten	Muslime	NON_EPISODIC	_	Islam	POSITIVE	POSITIVE	_
Schwule machen mich fertig.	ABUSE	fertigmachen	Homosexuelle	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime stecken wirklich im Mittelalter fest.	ABUSE	feststecken	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Schwule schleppen HIV ein.	ABUSE	einschleppen	Homosexuelle	NON_EPISODIC	PERPETRATOR	HIV	NEGATIVE	NEGATIVE	_
die Juden tricksen dich aus.	ABUSE	austricksen	Juden	NON_EPISODIC	PERPETRATOR	dich	POSITIVE	POSITIVE	_
Juden sitzen zwischen Ukraine und Belarus fest.	OTHER	festsitzen	Juden	EPISODIC	_	N/A	N/A	N/A	_
Italien: Muslime halten Tochter gefangen.	OTHER	gefangenhalten	Muslime	EPISODIC	PERPETRATOR	Tochter	POSITIVE	POSITIVE	_
Muslime stechen in Berlin Obdachlosen nieder.	OTHER	niederstechen	Muslime	EPISODIC	PERPETRATOR	Obdachlosen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden metzeln die Palästinenser nieder.	ABUSE	niedermetzeln	Juden	NON_EPISODIC	PERPETRATOR	die Palästinenser	POSITIVE	NEGATIVE	NON-CONFORMISTIC
#Muslime krempeln #Europa um	ABUSE	umkrempeln	Muslime	NON_EPISODIC	_	#Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden bringen Kinder Frauen um!	ABUSE	umbringen	Juden	NON_EPISODIC	PERPETRATOR	Kinder Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
#Muslime gaukeln uns reinlich u.ordentlich zu sein vor!	ABUSE	gaukeln	Muslime	NON_EPISODIC	_	reinlich u.ordentlich zu sein	POSITIVE	POSITIVE	_
Schwule bringen ja auch immer ihren Sexualpartner um.	ABUSE	umbringen	Homosexuelle	NON_EPISODIC	PERPETRATOR	ihren Sexualpartner	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime setzen sich über den deutschen Rechtsstaat hinweg.	ABUSE	hinwegsetzen	Muslime	NON_EPISODIC	PERPETRATOR	den deutschen Rechtsstaat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime reden sich ihre Religion schön.	ABUSE	schönreden	Muslime	NON_EPISODIC	_	ihre Religion	POSITIVE	POSITIVE	_
Muslime spielen uns nur Toleranz vor.	ABUSE	vorspielen	Muslime	NON_EPISODIC	PERPETRATOR	Toleranz	POSITIVE	POSITIVE	_
Muslime rennen auch diesem Verbrecherischen Glauben hinterher.	ABUSE	hinterherrennen	Muslime	NON_EPISODIC	_	diesem Verbrecherischen Glauben	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Die Muslime halten sich aus der Politik raus!	ABUSE	raushalten	Muslime	NON_EPISODIC	_	aus der Politik	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die juden bringen immer noch muslime um.	ABUSE	umbringen	Juden	NON_EPISODIC	PERPETRATOR	muslime	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime täuschen Ahnungslosen vor!	ABUSE	vortäuschen	Muslime	NON_EPISODIC	PERPETRATOR	Ahnungslosen	POSITIVE	POSITIVE	_
die Juden machen es den Taliban bis heute gleich.	ABUSE	gleichmachen	Juden	NON_EPISODIC	_	den Taliban	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime treten Österreicher tot.	OTHER	tottreten	Muslime	EPISODIC	PERPETRATOR	Österreicher	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime metzeln 500 Christen nieder.	OTHER	niedermetzeln	Muslime	EPISODIC	PERPETRATOR	500 Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime nehmen Einschränkungen hin.	OTHER	hinnehmen	Muslime	NON_EPISODIC	_	Einschränkungen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime fallen über alle Frauen her	ABUSE	herfallen	Muslime	NON_EPISODIC	PERPETRATOR	alle Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Bregenz: Muslime stechen zwei Kurden nieder.	OTHER	niederstechen	Muslime	EPISODIC	PERPETRATOR	zwei Kurden	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Zürich: Schwule werfen lesbischer Bürgermeisterin Homophobie vor.	OTHER	vorwerfen	Homosexuelle	EPISODIC	_	Homophobie	NEGATIVE	NEGATIVE	_
Muslime tragen unsere Frauen weg aus Deutschland.	ABUSE	wegtragen	Muslime	NON_EPISODIC	PERPETRATOR	unsere Frauen	POSITIVE	POSITIVE	_
Schwule schrecken vor Outing im Job zurück	OTHER	zurückschrecken	Homosexuelle	NON_EPISODIC	_	Outing	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime nehmen uns unser Weihnachten weg.	ABUSE	wegnehmen	Muslime	NON_EPISODIC	PERPETRATOR	unser Weihnachten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime holen sich ihr Eigentum zurück.	OTHER	zurückholen	Muslime	NON_EPISODIC	_	ihr Eigentum	POSITIVE	POSITIVE	_
Muslime entwickeln sich ZURÜCK! 	ABUSE	zurückentwickeln	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Schwule - nehmen uns die Männer weg!	ABUSE	wegnehmen	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Männer	POSITIVE	POSITIVE	_
Glockenbachviertel: Schwule ziehen weg.	OTHER	wegziehen	Homosexuelle	EPISODIC	_	N/A	N/A	N/A	_
Juden ziehen aus Frankreich weg.	OTHER	wegziehen	Juden	EPISODIC	_	N/A	N/A	N/A	_
Sankt-Martins-Fest: Muslime weisen linken Kreuzzug zurück.	OTHER	zurückweisen	Muslime	EPISODIC	_	linken Kreuzzug	NEGATIVE	NEGATIVE	_
Juden nehmen Europäern den Impfstoff weg.	ABUSE	wegnehmen	Juden	NON_EPISODIC	PERPETRATOR	den Impfstoff	POSITIVE	POSITIVE	_
Die Juden nehmen uns die Arbeit und Frauen weg.	ABUSE	wegnehmen	Juden	NON_EPISODIC	PERPETRATOR	die Arbeit und Frauen	POSITIVE	POSITIVE	_
Juden laufen weg auch aus Dnepropetrowsk.	OTHER	weglaufen	Juden	EPISODIC	_	N/A	N/A	N/A	_
Muslime werfen Behörden und Politik Versagen vor.	OTHER	vorwerfen	Muslime	EPISODIC	_	Versagen	NEGATIVE	NEGATIVE	_
Islam in Deutschland: Muslime werfen Gauck Geschichtsfälschung vor.	OTHER	vorwerfen	Muslime	EPISODIC	_	Geschichtsfälschung	NEGATIVE	NEGATIVE	_
die Muslime drängen den Unglauben zurück.	ABUSE	zurückdrängen	Muslime	NON_EPISODIC	_	den Unglauben	NEGATIVE	NEGATIVE	_
Muslime nehmen uns den Wohlstand weg.	ABUSE	wegnehmen	Muslime	NON_EPISODIC	PERPETRATOR	den Wohlstand	POSITIVE	POSITIVE	_
die Muslime entwickeln das Land bzw Europa zurück.	ABUSE	zurückentwickeln	Muslime	NON_EPISODIC	PERPETRATOR	das Land bzw Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden ziehen aus DE weg.	OTHER	wegziehen	Juden	EPISODIC	_	N/A	N/A	N/A	_
Muslime weisen das westliche Kulturgut Schokolade zurück!	ABUSE	zurückweisen	Muslime	NON_EPISODIC	_	das westliche Kulturgut Schokolade	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden wollen ihr Land zurück.	ABUSE	zurückwollen	Juden	NON_EPISODIC	_	ihr Land	POSITIVE	POSITIVE	_
#Spanien: Juden wollen #Synagoge in #Toledo von Katholiken zurück	OTHER	zurückwollen	Juden	EPISODIC	_	#Synagoge in #Toledo	POSITIVE	POSITIVE	_
Muslime ziehen Anzeige gegen David Klein zurück.	OTHER	zurückziehen	Muslime	EPISODIC	_	Anzeige gegen David Klein	POSITIVE	POSITIVE	_
Lesben betrauern „verlorene“ trans Männer.	OTHER	betrauern	Homosexuelle	EPISODIC	_	„verlorene“ trans Männer	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Lesben entführen Kinder.	ABUSE	entführen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	POSITIVE	_
Lesben bedrohen unsere Kinder.	ABUSE	bedrohen	Homosexuelle	NON_EPISODIC	PERPETRATOR	unsere Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben enttäuschen immer.	ABUSE	enttäuschen	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Lesben befürchten noch mehr Intoleranz	OTHER	befürchten	Homosexuelle	NON_EPISODIC	_	noch mehr Intoleranz	NEGATIVE	NEGATIVE	_
Lesben fallen weit überproportional durch aggressiven Männerhass auf.	ABUSE	auffallen	Homosexuelle	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Lesben gestehen Unsittlichkeit ein.	OTHER	eingestehen	Homosexuelle	EPISODIC	_	Unsittlichkeit	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Lesben fliehen in die USA.	OTHER	fliehen	Homosexuelle	EPISODIC	_	N/A	N/A	N/A	_
lesben entschuldigen alles, ok.	OTHER	entschuldigen	Homosexuelle	NON_EPISODIC	_	alles	POSITIVE	POSITIVE	_
Lesben Grenzen Männer aus.	ABUSE	ausgrenzen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
lesben entziehen sich der patriarchalen kontrolle durch einen mann.	OTHER	entziehen	Homosexuelle	NON_EPISODIC	_	der patriarchalen kontrolle durch einen mann	NEGATIVE	NEGATIVE	_
Die Lesben regen mich wirklich auf.	ABUSE	aufregen	Homosexuelle	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben erleiden "Vergewaltigung als Kur für ihre Fehlausrichtung"	OTHER	erleiden	Homosexuelle	NON_EPISODIC	_	"Vergewaltigung	NEGATIVE	NEGATIVE	_
Ja Lesben greifen auch Nachts Kinder an.	ABUSE	angreifen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben ermorden die Geliebten ihrer Geliebten.	ABUSE	ermorden	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Geliebten ihrer Geliebten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben diskriminieren sich doch selbst.	ABUSE	diskriminieren	Homosexuelle	NON_EPISODIC	_	sich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben dominieren Debatte.	OTHER	dominieren	Homosexuelle	NON_EPISODIC	_	Debatte	POSITIVE	POSITIVE	_
Lesben schließen gezielt Männer aus.	ABUSE	ausgrenzen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben klagen vorm Verfassungsgericht.	OTHER	klagen	Homosexuelle	EPISODIC	_	Verfassungsgericht	POSITIVE	POSITIVE	_
lesben lügen und betrügen was das zeug hält.	ABUSE	lästern	Homosexuelle	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Lesben kritisieren Gleichstellungskommission.	OTHER	kritisieren	Homosexuelle	EPISODIC	_	Gleichstellungskommission	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Alle Lesben kiffen!	ABUSE	kiffen	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Lesben kapern Auftritt von Hedwig von Beverfoerde.	OTHER	kapern	Homosexuelle	EPISODIC	PERPETRATOR	Auftritt von Hedwig von Beverfoerde	POSITIVE	POSITIVE	_
die lesben lästern die ganze zeit über cis männer.	ABUSE	lästern	Homosexuelle	NON_EPISODIC	PERPETRATOR	cis männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben gefährden heterosexuelle Familie.	ABUSE	gefährden	Homosexuelle	NON_EPISODIC	PERPETRATOR	heterosexuelle Familie	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben hassen Schwule	ABUSE	hassen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Schwule	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben klauen uns Männern übrigens die Frauen!	ABUSE	klauen	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Frauen	POSITIVE	POSITIVE	_
Lesben machen die Ehe kaputt.	ABUSE	kaputtmachen	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Ehe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben leiden an #MÄNNERPHOBIE.	ABUSE	leiden	Homosexuelle	NON_EPISODIC	_	#MÄNNERPHOBIE	NEGATIVE	NEGATIVE	_
Lesben gefährden die Sicherheit von Touristen.	ABUSE	gefährden	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Sicherheit von Touristen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben hassen Kerle.	ABUSE	hassen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Kerle	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die lesben mobben mich.	OTHER	mobben	Homosexuelle	NON_EPISODIC	PERPETRATOR	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben kämpfen oft gegen doppelte Diskriminierung im Arbeitsalltag und im Familienrecht.	OTHER	kämpfen	Homosexuelle	NON_EPISODIC	_	doppelte Diskriminierung im Arbeitsalltag und im Familienrecht	NEGATIVE	NEGATIVE	_
Lesben kämpfen um #Sichtbarkeit.	OTHER	kämpfen	Homosexuelle	NON_EPISODIC	_	#Sichtbarkeit	POSITIVE	POSITIVE	_
Lesben leiden unter Gewalt	OTHER	leiden	Homosexuelle	NON_EPISODIC	_	Gewalt	NEGATIVE	NEGATIVE	_
Lesben klagen für Adoption.	OTHER	klagen	Homosexuelle	EPISODIC	_	Adoption	POSITIVE	POSITIVE	_
Lesben kotzen im Bus!	OTHER	kotzen	Homosexuelle	EPISODIC	_	N/A	N/A	N/A	_
Lesben solidarisieren sich mit Transmännern	OTHER	solidarisieren	Homosexuelle	NON_EPISODIC	_	Transmännern	POSITIVE	POSITIVE	_
Lesben protestieren gegen homophoben Gesetzesartikel.	OTHER	protestieren	Homosexuelle	EPISODIC	_	homophoben Gesetzesartikel	NEGATIVE	NEGATIVE	_
Lesben stürmen New Yorks Standesämter.	OTHER	stürmen	Homosexuelle	EPISODIC	PERPETRATOR	New Yorks Standesämter	POSITIVE	POSITIVE	_
Lesben stehlen den hetero Paaren die Kinder!	ABUSE	stehlen	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Kinder	POSITIVE	POSITIVE	_
Lesben verlangen von Bundeskanzlerin Merkel Klarstellung zu CDU-Äußerungen.	OTHER	verlangen	Homosexuelle	EPISODIC	_	Klarstellung zu CDU-Äußerungen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Lesben schreien im Hof.	OTHER	schreien	Homosexuelle	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Lesben verabscheuen Männer.	ABUSE	verabscheuen	Homosexuelle	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben trauern um Opfer von Orlando.	OTHER	trauern	Homosexuelle	EPISODIC	_	Opfer von Orlando	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Lesben stören bei Schulveranstaltungen.	OTHER	stören	Homosexuelle	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Lesben terrorisieren das Land.	ABUSE	terrorisieren	Homosexuelle	NON_EPISODIC	PERPETRATOR	das Land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben verführen junge Mädchen.	ABUSE	verführen	Homosexuelle	NON_EPISODIC	PERPETRATOR	junge Mädchen	POSITIVE	POSITIVE	_
lesben nerven langsam nur noch.	ABUSE	nerven	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
lesben schreien am lautesten nach mehr Einwanderern.	ABUSE	schreiben	Homosexuelle	NON_EPISODIC	_	mehr Einwanderern	POSITIVE	POSITIVE	_
lesben müffeln.	ABUSE	müffeln	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Lesben verfolgen mich.	OTHER	verfolgen	Homosexuelle	NON_EPISODIC	PERPETRATOR	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben "rächen" sich friedlich an Soldat.	OTHER	rächen	Homosexuelle	EPISODIC	_	Soldat	NEGATIVE	NEGATIVE	_
Lesben tarnen sich als Männer!	ABUSE	tarnen	Homosexuelle	NON_EPISODIC	_	Männer	POSITIVE	POSITIVE	_
Lesben verderben die Kinder.	ABUSE	verderben	Homosexuelle	NON_EPISODIC	PERPETRATOR	die Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben stinken.	ABUSE	stinken	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Lesben verprügeln wissentlich einen Schwulen.	OTHER	verprügeln	Homosexuelle	EPISODIC	PERPETRATOR	einen Schwulen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Auch Lesben verzweifeln ab und an an der Liebe.	OTHER	verzweifeln	Homosexuelle	NON_EPISODIC	_	der Liebe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben warnen vor Zölibat.	OTHER	warnen	Homosexuelle	EPISODIC	_	Zölibat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Lesben weinen auch.	OTHER	weinen	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Lesben wettern gegen Schweizer Chocolatier Läderach.	OTHER	wettern	Homosexuelle	EPISODIC	_	Schweizer Chocolatier Läderach	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Lesben überfallen den Stadtstrand.	OTHER	überfallen	Homosexuelle	EPISODIC	PERPETRATOR	den Stadtstrand	POSITIVE	POSITIVE	_
